ZONE CHART,,,,,,,,,
,,,,,,,,,
UPS Ground/UPS 3 Day Select/UPS 2nd Day Air/UPS 2nd Day Air A.M./UPS Next Day Air Saver/UPS Next Day Air,,,,,,,,,
,,,,,,,,,
For shipments originating in ZIP Codes 135-01 to 135-99. To determine zone,,,,,,,,,
take the first three digits of the receiver's ZIP Code and refer to the chart below:,,,,,,,,,
,,,,,,,,,
ZONES,,,,,,,,,
Dest. ZIP,Ground,3 Day Select,2nd Day Air,2nd Day Air A.M.,Next Day Air Saver,Next Day Air,,,
460,004,304,204,244,134,104,,,
461,004,304,204,244,134,104,,,
462,004,304,204,244,134,104,,,
463,005,305,205,245,135,105,,,
464,005,305,205,245,135,105,,,
465,004,304,204,244,134,104,,,
466,004,304,204,244,134,104,,,
467,004,304,204,244,134,104,,,
468,004,304,204,244,134,104,,,
469,004,304,204,244,134,104,,,
470,004,304,204,244,134,104,,,
471,005,305,205,245,135,105,,,
472,004,304,204,244,134,104,,,
473,004,304,204,244,134,104,,,
474,005,305,205,245,135,105,,,
475,005,305,205,245,135,105,,,
476,005,305,205,245,135,105,,,
477,005,305,205,245,135,105,,,
478,005,305,205,245,135,105,,,
479,005,305,205,245,135,105,,,
480,004,304,204,244,134,104,,,
481,004,304,204,244,134,104,,,
482,004,304,204,244,134,104,,,
483,004,304,204,244,134,104,,,
484,004,304,204,244,134,104,,,
485,004,304,204,244,134,104,,,
486,004,304,204,244,134,104,,,
487,004,304,204,244,134,104,,,
488,004,304,204,244,134,104,,,
489,004,304,204,244,134,104,,,
490,004,304,204,244,134,104,,,
491,004,304,204,244,134,104,,,
492,004,304,204,244,134,104,,,
493,004,304,204,244,134,104,,,
494,004,304,204,244,134,104,,,
495,004,304,204,244,134,104,,,
496,004,304,204,244,134,104,,,
497,004,304,204,244,134,104,,,
498,005,305,205,245,135,105,,,
499,005,305,205,245,135,105,,,
500,005,305,205,245,135,105,,,
501,005,305,205,245,135,105,,,
502,005,305,205,245,135,105,,,
503,005,305,205,245,135,105,,,
504,005,305,205,245,135,105,,,
505,005,305,205,245,135,105,,,
506,005,305,205,245,135,105,,,
507,005,305,205,245,135,105,,,
508,005,305,205,245,135,105,,,
509,005,305,205,245,135,105,,,
510,006,306,206,246,136,106,,,
511,006,306,206,246,136,106,,,
512,006,306,206,246,136,106,,,
513,005,305,205,245,135,105,,,
514,005,305,205,245,135,105,,,
515,006,306,206,246,136,106,,,
516,006,306,206,246,136,106,,,
520,005,305,205,245,135,105,,,
521,005,305,205,245,135,105,,,
522,005,305,205,245,135,105,,,
523,005,305,205,245,135,105,,,
524,005,305,205,245,135,105,,,
525,005,305,205,245,135,105,,,
526,005,305,205,245,135,105,,,
527,005,305,205,245,135,105,,,
528,005,305,205,245,135,105,,,
530,005,305,205,245,135,105,,,
531,005,305,205,245,135,105,,,
532,005,305,205,245,135,105,,,
534,005,305,205,245,135,105,,,
535,005,305,205,245,135,105,,,
537,005,305,205,245,135,105,,,
538,005,305,205,245,135,105,,,
539,005,305,205,245,135,105,,,
540,005,305,205,245,135,105,,,
541,005,305,205,245,135,105,,,
542,005,305,205,245,135,105,,,
543,005,305,205,245,135,105,,,
544,005,305,205,245,135,105,,,
545,005,305,205,245,135,105,,,
546,005,305,205,245,135,105,,,
547,005,305,205,245,135,105,,,
548,005,305,205,245,135,105,,,
549,005,305,205,245,135,105,,,
550,005,305,205,245,135,105,,,
551,005,305,205,245,135,105,,,
553,005,305,205,245,135,105,,,
554,005,305,205,245,135,105,,,
555,005,305,205,245,135,105,,,
556,005,305,205,245,135,105,,,
557,005,305,205,245,135,105,,,
558,005,305,205,245,135,105,,,
559,005,305,205,245,135,105,,,
560,005,305,205,245,135,105,,,
561,005,305,205,245,135,105,,,
562,005,305,205,245,135,105,,,
563,005,305,205,245,135,105,,,
564,005,305,205,245,135,105,,,
565,006,306,206,246,136,106,,,
566,005,305,205,245,135,105,,,
567,006,306,206,246,136,106,,,
569,006,306,206,246,136,106,,,
570,006,306,206,246,136,106,,,
571,006,306,206,246,136,106,,,
572,006,306,206,246,136,106,,,
573,006,306,206,246,136,106,,,
574,006,306,206,246,136,106,,,
575,006,306,206,246,136,106,,,
576,006,306,206,246,136,106,,,
577,006,306,206,246,136,106,,,
580,006,306,206,246,136,106,,,
581,006,306,206,246,136,106,,,
582,006,306,206,246,136,106,,,
583,006,306,206,246,136,106,,,
584,006,306,206,246,136,106,,,
585,006,306,206,246,136,106,,,
586,006,306,206,246,136,106,,,
587,006,306,206,246,136,106,,,
588,006,306,206,246,136,106,,,
590,007,307,207,247,137,107,,,
591,007,307,207,247,137,107,,,
592,007,307,207,247,137,107,,,
593,007,307,207,247,137,107,,,
594,007,307,207,247,137,107,,,
595,007,307,207,247,137,107,,,
596,007,307,207,247,137,107,,,
597,008,308,208,248,138,108,,,
598,008,308,208,248,138,108,,,
599,008,308,208,248,138,108,,,
600,005,305,205,245,135,105,,,
601,005,305,205,245,135,105,,,
602,005,305,205,245,135,105,,,
603,005,305,205,245,135,105,,,
604,005,305,205,245,135,105,,,
605,005,305,205,245,135,105,,,
606,005,305,205,245,135,105,,,
607,005,305,205,245,135,105,,,
608,005,305,205,245,135,105,,,
609,005,305,205,245,135,105,,,
610,005,305,205,245,135,105,,,
611,005,305,205,245,135,105,,,
612,005,305,205,245,135,105,,,
613,005,305,205,245,135,105,,,
614,005,305,205,245,135,105,,,
615,005,305,205,245,135,105,,,
616,005,305,205,245,135,105,,,
617,005,305,205,245,135,105,,,
618,005,305,205,245,135,105,,,
619,005,305,205,245,135,105,,,
620,005,305,205,245,135,105,,,
622,005,305,205,245,135,105,,,
623,005,305,205,245,135,105,,,
624,005,305,205,245,135,105,,,
625,005,305,205,245,135,105,,,
626,005,305,205,245,135,105,,,
627,005,305,205,245,135,105,,,
628,005,305,205,245,135,105,,,
629,005,305,205,245,135,105,,,
630,005,305,205,245,135,105,,,
631,005,305,205,245,135,105,,,
633,005,305,205,245,135,105,,,
634,005,305,205,245,135,105,,,
635,005,305,205,245,135,105,,,
636,005,305,205,245,135,105,,,
637,005,305,205,245,135,105,,,
638,005,305,205,245,135,105,,,
639,005,305,205,245,135,105,,,
640,006,306,206,246,136,106,,,
641,006,306,206,246,136,106,,,
644,006,306,206,246,136,106,,,
645,006,306,206,246,136,106,,,
646,005,305,205,245,135,105,,,
647,006,306,206,246,136,106,,,
648,006,306,206,246,136,106,,,
649,006,306,206,246,136,106,,,
650,005,305,205,245,135,105,,,
651,005,305,205,245,135,105,,,
652,005,305,205,245,135,105,,,
653,005,305,205,245,135,105,,,
654,005,305,205,245,135,105,,,
655,005,305,205,245,135,105,,,
656,006,306,206,246,136,106,,,
657,006,306,206,246,136,106,,,
658,006,306,206,246,136,106,,,
660,006,306,206,246,136,106,,,
661,006,306,206,246,136,106,,,
662,006,306,206,246,136,106,,,
664,006,306,206,246,136,106,,,
665,006,306,206,246,136,106,,,
666,006,306,206,246,136,106,,,
667,006,306,206,246,136,106,,,
668,006,306,206,246,136,106,,,
669,006,306,206,246,136,106,,,
670,006,306,206,246,136,106,,,
671,006,306,206,246,136,106,,,
672,006,306,206,246,136,106,,,
673,006,306,206,246,136,106,,,
674,006,306,206,246,136,106,,,
675,006,306,206,246,136,106,,,
